Scalable Smart Packager CE,An easy to use application that can package EXE files for quick and easy distribution into highly customizable Microsoft installers
Vizitka,"Create simple business cards by relying on this lightweight, easy-to-configure application that features uncomplicated functions"
DVD Slim Free,"Create standard and slim covers for CD, DVD, VHS, Blue Ray, PlayStation consoles, PS1, PS2, PS3, PSP, xBox, Nintendo Wii and other cases"
Easy Web Gallery Builder,"Build image, document or video galleries with options to add watermarks and customize your content, in this easy to use application"
SmartsysSoft Business Card Maker,"Design detailed business cards by taking advantage of the multiple templates, backgrounds, shapes and text types provided by this application"
PortableApps.com Launcher,Turn your applications into portable tools users can carry around on a USB stick without getting involved in intricate processes
Actual Updater,"Ensure your customers use the latest versions of your software by creating a convenient updater that can be bundled with your products, with this handy utility"
EXEpress,Distribute your programs and games through a custom setup package fitted with your own visual elements and technical settings thanks to this application
eFlip Lite / Standard,Explore your creative freedom with the help of this flipbook maker that helps you come up with attractive designs to pack content into
eFlip Professional / Enterprise,"Have wonderful, interactive flipbooks created from PDF, RTF, Office, and other document types, and publish to a supported format for desktop, online, and mobile platforms"
!Easy ScreenSaver Station,You can create your own customized screensavers out of your personal photos and Flash movies with the help of numerous editing tools and
Next FlipBook Maker Pro,"Channel your creativity into inspiring text organized into stylish flipbooks, all with the help of this easy-to-handle software utility"
Next FlipBook Maker,"Create flipbooks you can publish online, offline, or upload to FTP, and load data from PDF files and pictures to create marvelous ideas"
VaySoft SWF to EXE Converter Pro,"Software solution that allows you to convert SWF file to self-running EXE file. The EXE file can be copied to any computer, it comes with many encryption options"
Helpinator,"An easy to use help authoring tool that allows you to create, append and customize your projects, as well as export them as CHM, PDF, RTF or HTML"
4Media Photo DVD Maker,"Use your favorite pictures to create customized photo slideshows, convert them to DVD videos and burn them to discs, with this easy-to-use application"
My Screensaver Maker,"A program that enables users to set images, Flash files, videos and web pages as their screensaver with an option to create compiled EXE files"
Kotobee Publisher,"With this efficient and intuitive application, you can quickly create multi-platform interactive ebooks with useful study tools your users"
QSetup,A powerful and reliable piece of software that allows you to create self extract installation files without requiring programming knowledge
Adobe RoboHelp,"Build and publish help systems, knowledge bases or user manuals with full support for HTML, Adobe AIR and XML documents, providing a user-friendly working environment"
Flash Gallery Creator,"Create Flash albums using templates, transitions, effects, hyperlinks, clipart and background music, as well as publish projects to SWF, HTML5 or other formats"
TMPGEnc Instant Show Presenter,"You can create presentations with images and sounds, add text to each slide and save the as a video or upload your creation on the web"
InstallConstruct,"Build installers for one or more programs, with an abundance of customization options, key generator, registry editor and more without writing a single line of code"
WiXAware,Create setup files for your application using a technology similar Windows Installer XML platform with this simple and straightforward application
UninsHs,"Easily add Repair, Modify and Remove options to setup scripts that you created with Inno Setup by using this lightweight and reliable extension"
RoboAuthor,"Create help documentation for your web or software applications using various editing operations, and print or burn data on CD/DVD"
Paper Killer,"Create complex general and help documents, by using an array of advanced text and HTML editing options, and export the results in different file formats, depending on the situation"
Private Photo Album,Password-protect and encrypt your photos with a simple and efficient tool that also allows you to organize and create slideshows
Easy Gift Card,"Create, edit and manage gift cards for your store using this application with an intuitive interface, a barcode reader and other useful options"
AudioLabel,"An application that can create personalized CD labels and cover images, with the ability to add artist, track, and title information"
eBooksWriter LITE,"Create eBooks, save them to your PC using whatever file format best suits your needs, and password-protect your new documents with this handy tool"
Wedding Album Maker Gold,"Put together DVDs with wedding albums using an intuitive tool to add transitions, effects and music, just as if you were a professional"
Free Business Card Maker,"Create and print simple business cards using shapes, text, and logos from local image files, with this lightweight software utility"
Easy Mail,"A tool for creating custom envelopes for business or personal use, with user-defined logos, as well as mailing and shipping labels and memos"
WinZip Self-Extractor,Create standard self-extracting ZIP files or archives for software installation in just a few simple steps with the help of this simple and easy to use wizard
FlipCreator,"A reliable and efficient software application designed to help you create online publications from PDF documents, images, video and audio files"
Easy Card Creator Express Edition,Effortlessly and quickly create comprehensive identification badges with the help of this streamlined and lightweight application
iScreensaver,"Simple tool which enables you to create screensavers for both Mac and Windows operating systems, preview your projects and lock them"
AquaSoft ScreenShow,"Effortlessly create your own custom screensavers with this intuitive application that allows you to add images, text and audio files"
Video Xpress,Seamlessly create photo albums from your favorite photos or digital albums that you already made using Album Xpress with this intuitive app
HofoSetup,An easy to use tool that will make it possible for anyone to create their own customized installers for the applications they create
Business Card Maker,A software utility designed to help users create various business cards with the minimal amount of effort by selecting from the multiple templates
Lectora Publisher,"Create and publish content quickly, easily and independently with this advanced authoring tool that comes with an extensive list of functions"
Answers,This lightweight application enables you to create help files and FAQ pages for your website or product in just a few quick moves
AlbumPlayer,Organize your music collection and play your favorite tracks with this complete utility that offers increased album management and playlist editing tools
InstallShield - Premier Edition,Develop Windows installers in an efficient manner by turning to this reliable application that comes with a comprehensive interface and packs a wide variety of functions
PhotoDVD,An application that provides users with the possibility to easily come up with photo slideshows to watch on their TV or on YouTube
Aone Photo Screensaver Maker,"Create your own screensavers with image slideshows, soundtracks and a multitude of visual effects using this quick and intuitive application"
Acme Photo ScreenSaver Maker,Easily Make your own Professional Screensaver in Minutes!
TechnoRiverStudio Professional Edition,"Powerful software that helps you create barcodes and labels by choosing from a wide range of barcodes, and embedding text messages, images, and geometrical objects"
Fly Help,"The application allows you to add image files and text documents, then create Help files, and it can also merge or decompile CHM files"
EA Install,A tool to help you easily and safely transfer MetaTrader data by creating installers which can deploy their content to multiple destinations
gPhotoShow Free,"A simple-to-use program that helps you create screensavers using the images stored in your computer, embed transitions, and add background music"
